1883550 zhining   20   0  434836  29288  21056 R  66.7   0.0   0:00.10 db_bench
1883550 zhining   20   0   12.6g 298820  23660 S  88.2   0.5   0:00.67 db_bench
1883550 zhining   20   0   12.7g 392948  24124 S 152.9   0.6   0:02.37 db_bench
1883550 zhining   20   0   12.7g 401392  24124 S 188.2   0.6   0:04.79 db_bench
1883550 zhining   20   0   12.7g 412208  24128 S 264.7   0.6   0:07.37 db_bench
1883550 zhining   20   0   12.7g 426460  24128 S 123.5   0.7   0:09.90 db_bench
1883550 zhining   20   0   12.7g 426724  24128 S 235.3   0.7   0:12.27 db_bench
1883550 zhining   20   0   12.7g 431476  24128 S 238.9   0.7   0:15.51 db_bench
1883550 zhining   20   0   12.7g 431496  24128 S 350.0   0.7   0:18.66 db_bench
1883550 zhining   20   0   12.7g 431496  24128 S 423.5   0.7   0:21.97 db_bench
1883550 zhining   20   0   12.7g 435720  24128 S 211.8   0.7   0:24.96 db_bench
1883550 zhining   20   0   12.7g 435828  24128 S 335.3   0.7   0:27.98 db_bench
1883550 zhining   20   0   12.7g 435604  24128 S 341.2   0.7   0:30.78 db_bench
1883550 zhining   20   0   12.7g 452420  24128 S 429.4   0.7   0:34.40 db_bench
1883550 zhining   20   0   12.7g 452544  24128 S 141.2   0.7   0:38.13 db_bench
1883550 zhining   20   0   12.7g 452556  24128 S 276.5   0.7   0:41.31 db_bench
1883550 zhining   20   0   12.7g 454408  24128 S 368.8   0.7   0:44.07 db_bench
1883550 zhining   20   0   12.7g 453808  24128 S 262.5   0.7   0:46.58 db_bench
1883550 zhining   20   0   12.7g 459344  24128 S 176.5   0.7   0:49.38 db_bench
1883550 zhining   20   0   12.7g 473784  24128 S 247.1   0.7   0:54.03 db_bench
1883550 zhining   20   0   12.7g 474576  24128 S 247.1   0.7   0:56.49 db_bench
1883550 zhining   20   0   12.7g 474576  24128 S 158.8   0.7   0:59.47 db_bench
1883550 zhining   20   0   12.7g 474392  24128 S 147.1   0.7   1:02.41 db_bench
1883550 zhining   20   0   12.7g 474392  24128 S 331.2   0.7   1:04.91 db_bench
1883550 zhining   20   0   12.7g 474392  24128 S 344.4   0.7   1:07.59 db_bench
1883550 zhining   20   0   12.7g 474464  24128 S 294.1   0.7   1:10.69 db_bench
1883550 zhining   20   0   12.7g 476304  24132 S 752.9   0.7   1:14.34 db_bench
1883550 zhining   20   0   12.8g 526196  24132 S 681.2   0.8   1:19.43 db_bench
