1803470 zhining   20   0  402048  29276  21148 R  62.5   0.0   0:00.11 db_bench
1803470 zhining   20   0   12.6g 320528  23548 S 105.9   0.5   0:00.80 db_bench
1803470 zhining   20   0   12.6g 394168  24172 S 158.8   0.6   0:02.52 db_bench
1803470 zhining   20   0   12.6g 404464  24172 S 156.2   0.6   0:04.93 db_bench
1803470 zhining   20   0   12.6g 411592  24172 S 200.0   0.6   0:07.47 db_bench
1803470 zhining   20   0   12.6g 424788  24172 S 156.2   0.6   0:10.22 db_bench
1803470 zhining   20   0   12.6g 424788  24172 S 217.6   0.6   0:12.58 db_bench
1803470 zhining   20   0   12.6g 424788  24172 S 143.8   0.6   0:15.70 db_bench
1803470 zhining   20   0   12.7g 428880  24172 S 223.5   0.7   0:18.27 db_bench
1803470 zhining   20   0   12.7g 433104  24172 S 352.9   0.7   0:21.31 db_bench
1803470 zhining   20   0   12.7g 433104  24172 S 341.2   0.7   0:24.35 db_bench
1803470 zhining   20   0   12.7g 443132  24172 S 617.6   0.7   0:28.34 db_bench
1803470 zhining   20   0   12.7g 447876  24176 S 200.0   0.7   0:32.03 db_bench
1803470 zhining   20   0   12.7g 447876  24176 S 175.0   0.7   0:35.13 db_bench
1803470 zhining   20   0   12.7g 447876  24176 S 317.6   0.7   0:38.33 db_bench
1803470 zhining   20   0   12.7g 447628  24176 S 294.1   0.7   0:41.56 db_bench
1803470 zhining   20   0   12.7g 447348  24176 S 443.8   0.7   0:45.63 db_bench
1803470 zhining   20   0   12.7g 461840  24176 S 341.2   0.7   0:49.53 db_bench
1803470 zhining   20   0   12.7g 461536  24176 S 235.3   0.7   0:52.03 db_bench
1803470 zhining   20   0   12.7g 461484  24176 S 170.6   0.7   0:55.16 db_bench
1803470 zhining   20   0   12.7g 461648  24176 S 343.8   0.7   0:58.31 db_bench
1803470 zhining   20   0   12.7g 461648  24176 S 329.4   0.7   1:00.39 db_bench
1803470 zhining   20   0   12.7g 462104  24176 S  17.6   0.7   1:02.66 db_bench
1803470 zhining   20   0   12.7g 467120  24176 S  17.6   0.7   1:05.40 db_bench
1803470 zhining   20   0   12.7g 466424  24176 S 294.1   0.7   1:08.58 db_bench
1803470 zhining   20   0   12.7g 499152  24176 S 429.4   0.8   1:12.77 db_bench
1803470 zhining   20   0   12.7g 499152  24176 S 188.2   0.8   1:16.14 db_bench
1803470 zhining   20   0   12.7g 499152  24176 S 141.2   0.8   1:18.67 db_bench
1803470 zhining   20   0   12.7g 499028  24176 S 200.0   0.8   1:21.02 db_bench
1803470 zhining   20   0   12.7g 499292  24176 S 129.4   0.8   1:23.79 db_bench
1803470 zhining   20   0   12.7g 499292  24176 S 358.8   0.8   1:26.19 db_bench
1803470 zhining   20   0   12.7g 499292  24176 S 364.7   0.8   1:28.70 db_bench
1803470 zhining   20   0   12.7g 499292  24176 S  17.6   0.8   1:30.76 db_bench
1803470 zhining   20   0   12.7g 499332  24176 S 270.6   0.8   1:33.94 db_bench
1803470 zhining   20   0   12.7g 499332  24176 S 176.5   0.8   1:36.83 db_bench
1803470 zhining   20   0   12.7g 499332  24176 S 211.8   0.8   1:39.48 db_bench
