4091120 zhining   20   0   13.5g   2.8g   2.3g S 258.8   4.5   3:21.53 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 305.9   4.5   3:24.52 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 468.8   4.5   3:28.14 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 411.8   4.5   3:32.27 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 144.4   4.5   3:34.10 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 194.1   4.5   3:36.30 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 158.8   4.5   3:39.16 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 205.9   4.5   3:42.72 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 182.4   4.5   3:45.36 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 229.4   4.5   3:48.86 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 241.2   4.5   3:51.82 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 317.6   4.5   3:55.35 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 300.0   4.5   3:59.18 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 300.0   4.5   4:03.18 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 117.6   4.5   4:06.01 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.3g S 182.4   4.5   4:08.66 db_bench
4091120 zhining   20   0   13.7g   3.0g   2.5g S 141.2   4.8   4:12.64 db_bench
4091120 zhining   20   0   13.9g   3.2g   2.7g S  23.5   5.1   4:14.29 db_bench
4091120 zhining   20   0   13.9g   3.2g   2.7g S 441.2   5.2   4:16.99 db_bench
4091120 zhining   20   0   13.9g   3.2g   2.7g S 364.7   5.2   4:22.08 db_bench
4091120 zhining   20   0   13.9g   3.2g   2.7g S 400.0   5.2   4:26.36 db_bench
4091120 zhining   20   0   13.6g   2.9g   2.4g S 412.5   4.7   4:30.65 db_bench
4091120 zhining   20   0   13.7g   3.0g   2.6g S 535.3   4.9   4:36.45 db_bench
4091120 zhining   20   0   13.9g   3.2g   2.8g S 417.6   5.2   4:41.32 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 305.9   5.4   4:43.81 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 135.3   5.4   4:44.90 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 123.5   5.4   4:47.05 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 188.9   5.4   4:50.18 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 194.1   5.4   4:53.36 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 182.4   5.4   4:55.55 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 311.8   5.4   4:58.70 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 211.8   5.4   5:01.18 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 317.6   5.4   5:04.31 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 282.4   5.4   5:07.69 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 288.2   5.4   5:11.27 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 170.6   5.4   5:14.08 db_bench
4091120 zhining   20   0   14.1g   3.4g   2.9g S 158.8   5.4   5:16.39 db_bench
4091120 zhining   20   0   14.0g   3.3g   2.8g S 382.4   5.2   5:20.81 db_bench
4091120 zhining   20   0   13.8g   3.1g   2.6g S 182.4   5.0   5:23.32 db_bench
4091120 zhining   20   0   13.8g   3.1g   2.6g S 464.7   5.0   5:27.41 db_bench
4091120 zhining   20   0   13.9g   3.2g   2.7g S 205.9   5.1   5:32.22 db_bench
4091120 zhining   20   0   14.0g   3.0g   2.5g S 247.1   4.8   5:35.71 db_bench
4091120 zhining   20   0   14.0g   3.3g   2.8g S 370.6   5.3   5:40.92 db_bench
4091120 zhining   20   0   14.0g   3.3g   2.8g S 587.5   5.3   5:44.65 db_bench
4091120 zhining   20   0   14.0g   3.3g   2.8g S 247.1   5.3   5:50.81 db_bench
4091120 zhining   20   0   14.0g   3.3g   2.8g S 429.4   5.3   5:54.90 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 470.6   5.2   5:59.58 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 412.5   5.2   6:03.11 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 358.8   5.2   6:07.32 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 270.6   5.2   6:10.58 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 282.4   5.2   6:13.38 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 200.0   5.2   6:16.16 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 235.3   5.2   6:18.88 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 281.2   5.2   6:22.24 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 300.0   5.2   6:25.97 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 212.5   5.2   6:29.47 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 241.2   5.2   6:31.55 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 364.7   5.2   6:34.49 db_bench
4091120 zhining   20   0   13.9g   3.3g   2.8g S 205.9   5.2   6:36.94 db_bench
4091120 zhining   20   0   13.4g   2.7g   2.2g S  41.2   4.4   6:41.67 db_bench
4091120 zhining   20   0   13.6g   2.9g   2.4g S 711.8   4.7   6:45.63 db_bench
4091120 zhining   20   0   13.6g   2.8g   2.3g S 205.9   4.5   6:48.78 db_bench
4091120 zhining   20   0   13.6g   3.0g   2.5g S 211.8   4.8   6:53.23 db_bench
4091120 zhining   20   0   13.6g   3.0g   2.5g S 388.2   4.8   6:58.93 db_bench
4091120 zhining   20   0   13.8g   3.1g   2.6g S 417.6   5.0   7:02.87 db_bench
4091120 zhining   20   0   13.8g   3.1g   2.6g S 482.4   5.0   7:07.75 db_bench
4091120 zhining   20   0   13.6g   2.9g   2.4g S 347.1   4.7   7:12.35 db_bench
4091120 zhining   20   0   13.4g   2.8g   2.3g S 370.6   4.5   7:16.92 db_bench
4091120 zhining   20   0   13.5g   2.8g   2.2g S 323.5   4.4   7:22.34 db_bench
4091120 zhining   20   0   13.9g   3.4g   2.9g S 470.6   5.4   7:27.19 db_bench
4091120 zhining   20   0   13.9g   3.2g   2.6g S 211.8   5.1   7:30.44 db_bench
4091120 zhining   20   0   13.9g   3.4g   2.9g S 311.8   5.5   7:33.32 db_bench
4091120 zhining   20   0   13.9g   3.4g   2.9g S 347.1   5.5   7:36.86 db_bench
4091120 zhining   20   0   13.9g   3.4g   2.9g S 394.1   5.5   7:41.54 db_bench
4091120 zhining   20   0   13.9g   3.4g   2.9g S 376.5   5.5   7:45.89 db_bench
4091120 zhining   20   0   14.1g   3.5g   3.0g S 429.4   5.6   7:50.47 db_bench
4091120 zhining   20   0   14.1g   3.5g   3.0g S  70.6   5.7   7:53.64 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 270.6   5.7   7:56.43 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 447.1   5.7   8:00.64 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 506.2   5.7   8:05.20 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 382.4   5.7   8:08.38 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 364.7   5.7   8:12.14 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 282.4   5.7   8:14.81 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 356.2   5.7   8:17.77 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 341.2   5.7   8:21.18 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 352.9   5.7   8:24.89 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 117.6   5.7   8:27.72 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 200.0   5.7   8:30.32 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 223.5   5.7   8:33.47 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 170.6   5.7   8:35.87 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 331.2   5.7   8:38.91 db_bench
4091120 zhining   20   0   14.1g   3.6g   3.0g S 188.2   5.7   8:41.41 db_bench
4091120 zhining   20   0   13.3g   2.8g   2.3g S 423.5   4.5   8:46.33 db_bench
4091120 zhining   20   0   13.6g   3.1g   2.5g S 635.3   4.9   8:52.27 db_bench
4091120 zhining   20   0   13.6g   3.1g   2.5g S 623.5   4.9   8:57.77 db_bench
4091120 zhining   20   0   14.2g   3.7g   3.1g S 416.7   5.9   9:02.25 db_bench
4091120 zhining   20   0   14.2g   3.7g   3.1g S 217.6   5.9   9:06.70 db_bench
4091120 zhining   20   0   14.1g   3.5g   3.0g S 235.3   5.6   9:09.94 db_bench
4091120 zhining   20   0   14.1g   3.7g   3.2g S 447.1   5.9   9:14.71 db_bench
4091120 zhining   20   0   14.1g   3.7g   3.2g S 347.1   5.9   9:18.38 db_bench
4091120 zhining   20   0   14.3g   3.6g   3.0g S 576.5   5.7   9:21.77 db_bench
4091120 zhining   20   0   14.3g   4.0g   3.4g S 523.5   6.3   9:27.63 db_bench
4091120 zhining   20   0   14.3g   4.0g   3.4g S 158.8   6.4   9:31.79 db_bench
4091120 zhining   20   0   14.4g   4.1g   3.5g S 441.2   6.5   9:36.25 db_bench
4091120 zhining   20   0   14.4g   4.1g   3.5g S 423.5   6.5   9:41.68 db_bench
4091120 zhining   20   0   14.4g   4.1g   3.5g S 388.2   6.5   9:46.91 db_bench
4091120 zhining   20   0   14.4g   4.1g   3.6g S 488.2   6.6   9:52.67 db_bench
4091120 zhining   20   0   14.4g   4.1g   3.6g S 112.5   6.6   9:55.38 db_bench
4091120 zhining   20   0   14.4g   4.1g   3.6g S 323.5   6.6   9:58.86 db_bench
4091120 zhining   20   0   14.4g   4.1g   3.6g S 329.4   6.6  10:02.58 db_bench
4091120 zhining   20   0   14.4g   4.1g   3.6g S 329.4   6.6  10:05.45 db_bench
4091120 zhining   20   0   13.5g   3.1g   2.5g S 358.8   4.9  10:09.51 db_bench
4091120 zhining   20   0   13.8g   3.4g   2.9g S 394.1   5.5  10:13.44 db_bench
4091120 zhining   20   0   13.9g   3.6g   3.0g S 294.1   5.7  10:15.77 db_bench
4091120 zhining   20   0   13.9g   3.6g   3.0g S 370.6   5.7  10:20.29 db_bench
4091120 zhining   20   0   13.9g   3.6g   3.0g S 435.3   5.7  10:24.80 db_bench
