3769857 zhining   20   0  115560  27664  14776 S  61.1   0.0   0:00.11 db_bench
3769857 zhining   20   0  202608 116344  15420 S 170.6   0.2   0:01.60 db_bench
3769857 zhining   20   0  210800 124264  15420 S 182.4   0.2   0:03.19 db_bench
3769857 zhining   20   0  212848 126888  15432 S 135.3   0.2   0:05.46 db_bench
3769857 zhining   20   0  212848 126888  15432 S 181.2   0.2   0:07.17 db_bench
3769857 zhining   20   0  215920 129792  15432 S 194.1   0.2   0:09.63 db_bench
3769857 zhining   20   0  215920 129792  15432 S 241.2   0.2   0:12.04 db_bench
3769857 zhining   20   0  222064 136128  15432 S 194.1   0.2   0:14.43 db_bench
3769857 zhining   20   0  225136 139032  15432 S 194.1   0.2   0:16.93 db_bench
3769857 zhining   20   0  225136 139032  15432 S 200.0   0.2   0:19.59 db_bench
3769857 zhining   20   0  230256 144048  15432 S 176.5   0.2   0:21.98 db_bench
3769857 zhining   20   0  230256 144048  15432 S 182.4   0.2   0:24.41 db_bench
3769857 zhining   20   0  234232 147272  15496 S 372.2   0.2   0:28.67 db_bench
3769857 zhining   20   0  234232 148036  15496 S 241.2   0.2   0:31.35 db_bench
3769857 zhining   20   0  234232 148036  15496 S 252.9   0.2   0:33.79 db_bench
3769857 zhining   20   0  234232 148036  15496 S 370.6   0.2   0:37.81 db_bench
3769857 zhining   20   0  234232 148036  15496 S 188.2   0.2   0:40.61 db_bench
3769857 zhining   20   0  235256 149092  15496 S 276.5   0.2   0:43.18 db_bench
3769857 zhining   20   0  256776 170472  15496 S 335.3   0.3   0:47.14 db_bench
3769857 zhining   20   0  256776 170736  15496 S 247.1   0.3   0:49.83 db_bench
3769857 zhining   20   0  256776 170580  15496 S 241.2   0.3   0:52.29 db_bench
3769857 zhining   20   0  256776 170364  15496 S 266.7   0.3   0:55.11 db_bench
3769857 zhining   20   0  256776 170492  15496 S 300.0   0.3   0:59.41 db_bench
3769857 zhining   20   0  256776 170196  15496 S 200.0   0.3   1:01.86 db_bench
3769857 zhining   20   0  256776 170028  15496 S 266.7   0.3   1:04.54 db_bench
3769857 zhining   20   0  256776 169864  15496 S 164.7   0.3   1:07.38 db_bench
3769857 zhining   20   0  256776 169864  15496 S 362.5   0.3   1:11.36 db_bench
3769857 zhining   20   0  256776 169664  15496 S 211.8   0.3   1:16.14 db_bench
3769857 zhining   20   0  256776 169440  15496 S 200.0   0.3   1:18.67 db_bench
3769857 zhining   20   0  256776 169192  15496 S 382.4   0.3   1:21.73 db_bench
3769857 zhining   20   0  256776 168896  15496 S 175.0   0.3   1:24.20 db_bench
3769857 zhining   20   0  256776 169424  15496 S 462.5   0.3   1:28.76 db_bench
3769857 zhining   20   0  272136 184400  15496 S 241.2   0.3   1:32.45 db_bench
3769857 zhining   20   0  273160 185720  15496 S 329.4   0.3   1:36.02 db_bench
