 484061 zhining   20   0   13.7g   2.7g   2.2g S 394.1   4.4   3:58.84 db_bench
 484061 zhining   20   0   13.7g   2.7g   2.2g S 276.5   4.4   4:03.43 db_bench
 484061 zhining   20   0   13.8g   2.8g   2.3g S 435.3   4.5   4:09.75 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 335.3   4.7   4:14.06 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S  35.3   4.7   4:15.89 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 129.4   4.7   4:17.64 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 294.4   4.7   4:20.89 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 405.9   4.7   4:24.84 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 376.5   4.7   4:28.22 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 331.2   4.7   4:31.43 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 227.8   4.7   4:34.74 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 182.4   4.7   4:38.14 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 158.8   4.7   4:40.82 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 272.2   4.7   4:44.83 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 276.5   4.7   4:48.36 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S  17.6   4.7   4:49.76 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 294.1   4.7   4:51.55 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 182.4   4.7   4:54.70 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 176.5   4.7   4:57.79 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 281.2   4.7   5:01.05 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 188.2   4.7   5:03.88 db_bench
 484061 zhining   20   0   13.8g   2.9g   2.4g S 317.6   4.7   5:07.23 db_bench
 484061 zhining   20   0   13.8g   2.8g   2.3g S 311.8   4.5   5:13.45 db_bench
 484061 zhining   20   0   13.7g   2.8g   2.2g S 355.6   4.5   5:18.38 db_bench
 484061 zhining   20   0   14.0g   3.3g   2.7g S 176.5   5.3   5:24.14 db_bench
 484061 zhining   20   0   14.0g   3.2g   2.7g S 623.5   5.2   5:28.55 db_bench
 484061 zhining   20   0   14.1g   3.5g   2.9g S 394.1   5.6   5:34.81 db_bench
 484061 zhining   20   0   14.2g   3.6g   3.0g S 316.7   5.7   5:41.10 db_bench
 484061 zhining   20   0   14.2g   3.5g   2.9g S 700.0   5.6   5:46.94 db_bench
 484061 zhining   20   0   14.4g   3.8g   3.2g S 111.8   6.1   5:50.73 db_bench
 484061 zhining   20   0   14.4g   3.8g   3.2g S 516.7   6.0   5:54.95 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 188.2   6.1   5:57.64 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 355.6   6.1   6:02.65 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 311.8   6.1   6:08.41 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 150.0   6.1   6:12.57 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 347.1   6.1   6:16.32 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 317.6   6.1   6:19.70 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 355.6   6.1   6:23.14 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 305.9   6.1   6:26.67 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 331.2   6.1   6:29.94 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 211.8   6.1   6:33.01 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 158.8   6.1   6:35.35 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S  35.3   6.1   6:36.45 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 247.1   6.1   6:39.43 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 325.0   6.1   6:42.58 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 322.2   6.1   6:45.59 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 317.6   6.1   6:48.57 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 335.3   6.1   6:51.69 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.3g S 200.0   6.1   6:54.50 db_bench
 484061 zhining   20   0   14.1g   3.5g   2.9g S 376.5   5.6   6:59.53 db_bench
 484061 zhining   20   0   14.0g   3.5g   3.0g S 711.8   5.7   7:02.56 db_bench
 484061 zhining   20   0   14.2g   3.8g   3.2g S 270.6   6.0   7:09.46 db_bench
 484061 zhining   20   0   14.3g   3.9g   3.3g S 552.9   6.2   7:15.06 db_bench
 484061 zhining   20   0   14.0g   3.5g   3.0g S 494.4   5.7   7:22.02 db_bench
 484061 zhining   20   0   14.2g   3.8g   3.2g S 329.4   6.1   7:26.32 db_bench
 484061 zhining   20   0   14.3g   3.9g   3.3g S 482.4   6.2   7:32.28 db_bench
 484061 zhining   20   0   14.2g   3.8g   3.2g S 529.4   6.1   7:38.06 db_bench
 484061 zhining   20   0   14.4g   4.0g   3.4g S 158.8   6.3   7:41.62 db_bench
 484061 zhining   20   0   14.4g   4.0g   3.4g S 323.5   6.4   7:47.46 db_bench
 484061 zhining   20   0   14.4g   4.1g   3.5g S 511.8   6.5   7:50.48 db_bench
 484061 zhining   20   0   14.4g   4.1g   3.5g S 511.8   6.5   7:56.08 db_bench
 484061 zhining   20   0   14.4g   4.1g   3.5g S 435.3   6.5   8:01.76 db_bench
 484061 zhining   20   0   14.4g   4.1g   3.5g S 547.1   6.5   8:07.56 db_bench
 484061 zhining   20   0   14.4g   4.1g   3.5g S 400.0   6.5   8:11.68 db_bench
 484061 zhining   20   0   14.4g   4.1g   3.5g S 270.6   6.5   8:15.97 db_bench
 484061 zhining   20   0   14.4g   4.1g   3.5g S 252.9   6.5   8:19.88 db_bench
 484061 zhining   20   0   14.4g   4.1g   3.5g S 205.9   6.5   8:23.43 db_bench
 484061 zhining   20   0   14.4g   4.1g   3.5g S 394.1   6.5   8:27.76 db_bench
 484061 zhining   20   0   14.4g   4.1g   3.5g S 150.0   6.5   8:30.44 db_bench
 484061 zhining   20   0   13.4g   3.0g   2.4g S 564.7   4.8   8:37.51 db_bench
 484061 zhining   20   0   13.5g   3.2g   2.5g S 329.4   5.0   8:41.75 db_bench
 484061 zhining   20   0   13.6g   3.3g   2.7g S 288.2   5.3   8:47.50 db_bench
 484061 zhining   20   0   14.0g   3.7g   3.1g S 729.4   5.9   8:53.64 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.2g S 205.9   6.1   8:58.95 db_bench
 484061 zhining   20   0   14.4g   3.9g   3.3g S 452.9   6.3   9:04.95 db_bench
 484061 zhining   20   0   14.1g   3.8g   3.2g S 394.1   6.1   9:09.10 db_bench
 484061 zhining   20   0   14.1g   3.8g   3.2g S 494.1   6.1   9:14.60 db_bench
 484061 zhining   20   0   14.1g   3.6g   3.0g S 466.7   5.7   9:20.96 db_bench
 484061 zhining   20   0   14.1g   3.8g   3.2g S 652.9   6.1   9:27.90 db_bench
 484061 zhining   20   0   14.3g   3.8g   3.2g S 488.9   6.2   9:32.18 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 617.6   6.4   9:39.06 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 482.4   6.4   9:46.32 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 617.6   6.4   9:52.49 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 552.9   6.4   9:58.02 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 422.2   6.4  10:02.78 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 535.3   6.4  10:08.02 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 341.2   6.4  10:12.70 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 129.4   6.4  10:15.96 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 135.3   6.4  10:17.01 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 194.1   6.4  10:20.37 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 270.6   6.4  10:23.66 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 156.2   6.4  10:26.45 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 264.7   6.4  10:29.40 db_bench
 484061 zhining   20   0   14.3g   4.0g   3.4g S 100.0   6.4  10:31.72 db_bench
 484061 zhining   20   0   13.4g   2.7g   2.1g S 988.2   4.3  10:34.67 db_bench
 484061 zhining   20   0   13.5g   3.0g   2.4g S 247.1   4.8  10:40.13 db_bench
 484061 zhining   20   0   13.7g   3.1g   2.5g S 217.6   5.0  10:45.37 db_bench
 484061 zhining   20   0   14.2g   3.8g   3.2g S 576.5   6.1  10:50.61 db_bench
 484061 zhining   20   0   14.5g   4.2g   3.6g S 382.4   6.7  10:56.65 db_bench
 484061 zhining   20   0   14.5g   4.2g   3.6g S 288.9   6.7  10:59.64 db_bench
 484061 zhining   20   0   14.4g   4.1g   3.4g S 664.7   6.5  11:06.20 db_bench
 484061 zhining   20   0   14.9g   4.0g   3.4g S 647.1   6.4  11:13.81 db_bench
 484061 zhining   20   0   14.9g   4.5g   3.9g S 625.0   7.2  11:20.04 db_bench
 484061 zhining   20   0   14.9g   4.6g   4.0g S 482.4   7.4  11:27.02 db_bench
 484061 zhining   20   0   14.9g   4.6g   4.0g S 500.0   7.4  11:32.25 db_bench
 484061 zhining   20   0   14.9g   4.6g   4.0g S 605.9   7.4  11:38.12 db_bench
 484061 zhining   20   0   14.9g   4.6g   4.0g S 700.0   7.4  11:43.48 db_bench
 484061 zhining   20   0   14.9g   4.6g   4.0g S 511.8   7.4  11:48.98 db_bench
 484061 zhining   20   0   14.9g   4.6g   4.0g S 529.4   7.4  11:55.27 db_bench
 484061 zhining   20   0   14.9g   4.6g   4.0g S 488.9   7.4  12:01.19 db_bench
 484061 zhining   20   0   14.9g   4.6g   4.0g S 305.9   7.4  12:05.00 db_bench
 484061 zhining   20   0   14.9g   4.6g   4.0g S 376.5   7.4  12:08.89 db_bench
 484061 zhining   20   0   14.9g   4.6g   4.0g S 388.2   7.4  12:12.48 db_bench
 484061 zhining   20   0   14.9g   4.6g   4.0g S 441.2   7.4  12:16.58 db_bench
 484061 zhining   20   0   14.9g   4.6g   4.0g S 305.9   7.4  12:19.67 db_bench
 484061 zhining   20   0   13.6g   3.3g   2.7g S 370.6   5.3  12:25.12 db_bench
